| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      0%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      0%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      0%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      0%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      0%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      0%      Default |
| 41%   42C    P2    32W / 160W |    640MiB /  5931MiB |      0%      Default |
| 41%   42C    P8    32W / 160W |    640MiB /  5931MiB |      0%      Default |
| 41%   42C    P8    26W / 160W |    640MiB /  5931MiB |      0%      Default |
| 41%   41C    P8    16W / 160W |    640MiB /  5931MiB |      0%      Default |
| 41%   41C    P8    16W / 160W |    640MiB /  5931MiB |      0%      Default |
| 41%   41C    P8    12W / 160W |    640MiB /  5931MiB |      0%      Default |
| 41%   41C    P8    12W / 160W |    640MiB /  5931MiB |      0%      Default |
| 41%   41C    P8    12W / 160W |    640MiB /  5931MiB |      0%      Default |
| 41%   41C    P8    12W / 160W |    640MiB /  5931MiB |      0%      Default |
| 41%   41C    P8    12W / 160W |    640MiB /  5931MiB |      0%      Default |
| 41%   41C    P8    13W / 160W |    640MiB /  5931MiB |      0%      Default |
| 41%   41C    P8    13W / 160W |    640MiB /  5931MiB |      0%      Default |
| 41%   41C    P8    15W / 160W |    640MiB /  5931MiB |      0%      Default |
| 41%   41C    P8    15W / 160W |    640MiB /  5931MiB |      0%      Default |
| 41%   41C    P8    13W / 160W |    640MiB /  5931MiB |      0%      Default |
| 41%   41C    P8    12W / 160W |    640MiB /  5931MiB |      0%      Default |
| 41%   41C    P8    12W / 160W |    640MiB /  5931MiB |      0%      Default |
| 41%   41C    P8    12W / 160W |    640MiB /  5931MiB |      0%      Default |
| 41%   41C    P8    12W / 160W |    640MiB /  5931MiB |      0%      Default |
